"","variable","value","any_mental_disorder","suicide_risk","anxiety_disorders","alcohol_use_disorders","depression"
"37","size_place_residence","20000-99999","1.14 (0.86, 1.5)","1.06 (0.71, 1.57)","1.14 (0.78, 1.64)","1.41 (0.83, 2.38)","0.96 (0.64, 1.45)"
"38","size_place_residence","100000+","1.1 (0.83, 1.45)","1.17 (0.79, 1.73)","1.07 (0.75, 1.53)","1.08 (0.64, 1.82)","1.06 (0.68, 1.64)"
"39","age",NA,"1.03 (0.93, 1.14)","0.96 (0.82, 1.11)","0.99 (0.87, 1.13)","0.78 (0.62, 0.98)","1.24 (1.07, 1.45)"
"40","SELFI_composite",NA,"4.35 (3.73, 5.11)","3.4 (2.75, 4.26)","3.18 (2.62, 3.9)","5.01 (3.79, 6.77)","2.57 (2.07, 3.23)"
"41","beer_quantity",NA,"0.61 (0.52, 0.7)","0.62 (0.49, 0.76)","0.88 (0.73, 1.03)","0.86 (0.69, 1.06)","0.84 (0.67, 1.01)"
"42","wine_quantity",NA,"0.76 (0.66, 0.86)","0.77 (0.64, 0.9)","0.87 (0.74, 1.01)","1.15 (0.95, 1.37)","0.76 (0.62, 0.9)"
"43","spirits_quantity",NA,"0.7 (0.59, 0.83)","0.78 (0.63, 0.94)","0.92 (0.77, 1.06)","0.96 (0.76, 1.17)","0.9 (0.75, 1.05)"
"44","beer_frequency",NA,"0.63 (0.56, 0.7)","0.73 (0.63, 0.85)","0.77 (0.67, 0.89)","0.74 (0.59, 0.94)","0.72 (0.61, 0.85)"
"45","wine_frequency",NA,"0.73 (0.66, 0.82)","0.79 (0.68, 0.92)","0.78 (0.68, 0.9)","1.1 (0.91, 1.35)","0.7 (0.59, 0.83)"
"46","spirits_frequency",NA,"0.61 (0.55, 0.69)","0.75 (0.64, 0.88)","0.79 (0.68, 0.91)","0.66 (0.53, 0.82)","0.75 (0.63, 0.88)"
"47","binge_drinking",NA,"0.64 (0.56, 0.71)","0.73 (0.63, 0.86)","0.81 (0.7, 0.95)","1.02 (0.81, 1.29)","0.73 (0.62, 0.87)"
